subject,description,integration,objective,quality,refactoring,testing,categoryCount,subjDescription
 db test,big change necessary one move database connection stuff test purpose ceilometer storage impl backend redeclaring stuff inside test db module mean code possibility run api test database backends free changeid ieaeadedecdcfdd signedoffby julien danjou julien danjou info,1,1,1,0,1,4, db test big change necessary one move database connection stuff test purpose ceilometer storage impl backend redeclaring stuff inside test db module mean code possibility run api test database backends free changeid ieaeadedecdcfdd signedoffby julien danjou julien danjou info
 db unit test,changeid ifdadbbdabbbcfbec,0,0,0,0,1,1, db unit test changeid ifdadbbdabbbcfbec
 drac driver bootdevice test,reduce copyandpasting test make obvious change test test method test make easier extend test handle uefimode boot devices in followup patch changeid iddbadfffdadcbcfb,0,1,1,0,1,3, drac driver bootdevice test reduce copyandpasting test make obvious change test test method test make easier extend test handle uefimode boot devices in followup patch changeid iddbadfffdadcbcfb
 dvr ha migarations db operations,router migrate from to ha router interface device owner db update after update event handler staledataerror trace describe bug report instead follow dvr approach update precommit update handler db change update device owner legacy ha router modes migration involve dvr handle dvr code update distribute flag db operations exist code affect router unbind retry distribute flag update retry test cover scenario tempest test dvr ha migrations test gate job legacytempestdsvmneutrondvrmultinodescenario closesbug changeid iecceceedefdebdb cherry pick commit cacedaabecfddbaf,1,1,0,0,1,3, dvr ha migarations db operations router migrate from to ha router interface device owner db update after update event handler staledataerror trace describe bug report instead follow dvr approach update precommit update handler db change update device owner legacy ha router modes migration involve dvr handle dvr code update distribute flag db operations exist code affect router unbind retry distribute flag update retry test cover scenario tempest test dvr ha migrations test gate job legacytempestdsvmneutrondvrmultinodescenario closesbug changeid iecceceedefdebdb cherry pick commit cacedaabecfddbaf
 datatable filter function mixin,datatable filter relate function mixin class class use filter table namely patch tabbedtableview class changeid iaefccffdb,0,1,0,1,0,2, datatable filter function mixin datatable filter relate function mixin class class use filter table namely patch tabbedtableview class changeid iaefccffdb
 database layer,misc change include improvements oslo db clean db api layer alembic support db migration fix pep issue new code new api health verify new db api changeid ieddcbdfeadedbf,1,1,0,0,0,2, database layer misc change include improvements oslo db clean db api layer alembic support db migration fix pep issue new code new api health verify new db api changeid ieddcbdfeadedbf
 deploymentserializer slightly,dry set primary controller reuse couple change set set deployment pirorities readable replace prior priority prior mean previous lead confusion read code changeid iddbfdfdddb,0,1,1,0,0,2, deploymentserializer slightly dry set primary controller reuse couple change set set deployment pirorities readable replace prior priority prior mean previous lead confusion read code changeid iddbfdfdddb
 diskfile hide quarantine add reader, file read reader context manager ahead diskfile ing work define yet internal api see  diskfile create diskreader class akin diskwriter class allow encapsulate file read implementation detail also  diskwriter reference threadpool disk file field misc exception syntax use as changeid iefbbeaadabfffcfdabfac signedoffby peter portante peter portante redhat com,1,1,1,0,0,3, diskfile hide quarantine add reader  file read reader context manager ahead diskfile ing work define yet internal api see  diskfile create diskreader class akin diskwriter class allow encapsulate file read implementation detail also  diskwriter reference threadpool disk file field misc exception syntax use as changeid iefbbeaadabfffcfdabfac signedoffby peter portante peter portante redhat com
 diskfile instantiation object server,diskfile take lot arguments value instantiation pull stuff utility method functionality change intend changeid idfbeddcbeddeeeea,0,1,0,1,0,2, diskfile instantiation object server diskfile take lot arguments value instantiation pull stuff utility method functionality change intend changeid idfbeddcbeddeeeea
 distil api support new endpoints,changeid idfedfddffbbf,1,0,0,0,0,1, distil api support new endpoints changeid idfedfddffbbf
 driverbase get instance,scope param add allow get multiple independent instance driver particularly useful vifpooldriver implementation multiple podvifdrivers eg noopvifpool multiple podvifdriver type rename driver alias specific driver better indicate function changeid ieabbfaccabfddab signedoffby yash gupta gupta samsung com,0,1,0,0,0,1, driverbase get instance scope param add allow get multiple independent instance driver particularly useful vifpooldriver implementation multiple podvifdrivers eg noopvifpool multiple podvifdriver type rename driver alias specific driver better indicate function changeid ieabbfaccabfddab signedoffby yash gupta gupta samsung com
 ec api error handle code,implement blueprint ecerrorcodes redundant log code unite new init py ec error ex helper function standard ec error responses uniformly log debug log level responses invalid client request nova errors unexpected client server errors log error critical level exception error code useless unknownerror error descriptions supressed unexpected server errors contain sensitive information new unit test provide code consturcting ec error response duplicate init py ec error fault py fault move fault py ec error response init py exception to eccode helper function return exception ec error code exceptions ec code attribute yet add follwing patch require reference blueprint code cleanup serve base future fix current terrible ec error behavior changeid iebdfeafaecffcafef,1,0,1,0,0,2, ec api error handle code implement blueprint ecerrorcodes redundant log code unite new init py ec error ex helper function standard ec error responses uniformly log debug log level responses invalid client request nova errors unexpected client server errors log error critical level exception error code useless unknownerror error descriptions supressed unexpected server errors contain sensitive information new unit test provide code consturcting ec error response duplicate init py ec error fault py fault move fault py ec error response init py exception to eccode helper function return exception ec error code exceptions ec code attribute yet add follwing patch require reference blueprint code cleanup serve base future fix current terrible ec error behavior changeid iebdfeafaecffcafef
 ec keypairs exception,accord follow document ec api send specific error cod keypair list keypair generation fail specifically error cod invalidkeypair duplicate duplicate keypair invalidkeypair format keypair format invalid invalidkeypair notfound keypair resourcelimitexceeded keypair quota exceed ed create key pair describe key pair throw correct ec error cod accord public ec api specs remove duplicate exceptions well changeid ibedecbcabfeedcb signedoffby chuck short chuck short canonical com,1,0,0,0,1,2, ec keypairs exception accord follow document ec api send specific error cod keypair list keypair generation fail specifically error cod invalidkeypair duplicate duplicate keypair invalidkeypair format keypair format invalid invalidkeypair notfound keypair resourcelimitexceeded keypair quota exceed ed create key pair describe key pair throw correct ec error cod accord public ec api specs remove duplicate exceptions well changeid ibedecbcabfeedcb signedoffby chuck short chuck short canonical com
 epel role,wip fix bug user install epelrelase centos default package latest rpm online package latest epelrelease rpm install provide newer package translate package like graphiteweb dont exist installation things like elk fail change add check uninstall epelrelease its right uninstall valid version so install elk graphite remove reinstall epel im look way identify source epel package prevent that finally epel package instal half dozen different playbooks copy paste versions role refacotred task require epel epel role install it changeid icaaecfce,0,1,1,0,0,2, epel role wip fix bug user install epelrelase centos default package latest rpm online package latest epelrelease rpm install provide newer package translate package like graphiteweb dont exist installation things like elk fail change add check uninstall epelrelease its right uninstall valid version so install elk graphite remove reinstall epel im look way identify source epel package prevent that finally epel package instal half dozen different playbooks copy paste versions role refacotred task require epel epel role install it changeid icaaecfce
 evoque api,changeid iacaabfdaafaccbddd see baseapplicationtemplate,1,0,0,0,0,1, evoque api changeid iacaabfdaafaccbddd see baseapplicationtemplate
 ffwd run run rd controlplane,order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb,1,1,0,0,1,3, ffwd run run rd controlplane order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb
 ffwd run run rd controlplane,order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb cherry pick commit dcdbbbfecad,1,1,0,0,1,3, ffwd run run rd controlplane order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb cherry pick commit dcdbbbfecad
 ffwd run run rd controlplane,order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb cherry pick commit dcdbbbfecad cherry pick commit cfbcccbdcabddfdecca,1,1,0,0,1,3, ffwd run run rd controlplane order pass workload test cant skip networker roles upgrade controlplane once ceph osd case update ceph mon cause outage changeid iaffacacfbccedcebfb cherry pick commit dcdbbbfecad cherry pick commit cfbcccbdcabddfdecca
 fernet drop timestamps payload version payload,squash commit consist follow change net summary change remove token formatters dependency token data token data helper trust api call module interface modules understand token data compose theres reason token formatters create method work complex data patch ensure token formatters primitive string of datetimes audit ids trust ids create tokens theyre free encode wish handle audit ids simplify theyre mutate strictly necessary remove expiration timestamp embed fernet tokens favor key rotation tune lifespan fernet tokens remove creation timestamp tokens payload favor extract tokens creation timestamp fernet token format itself move payload version part plaintext token prefix integrity verify portion token the payload drop doesnt serve purpose fernet tokens token format validate offline pki pkiz require bunch ing responsibility decrypt unpack disassemble payload content caller the provider add domainscoped payload format identical projectscoped tokens different version number better functional test reveal test intend exercise domainscoped fernet tokens didnt exist pass remove remain functional test unit test suite test fernet provider ensure coverage exist actual functional test suite test auth unit test require heavy ing ing require support item above easier dump test favor better functional test coverage agnostic implementation detail changeid ibbfebceccfeeaecd closesbug closesbug closesbug closesbug,0,1,1,0,1,3, fernet drop timestamps payload version payload squash commit consist follow change net summary change remove token formatters dependency token data token data helper trust api call module interface modules understand token data compose theres reason token formatters create method work complex data patch ensure token formatters primitive string of datetimes audit ids trust ids create tokens theyre free encode wish handle audit ids simplify theyre mutate strictly necessary remove expiration timestamp embed fernet tokens favor key rotation tune lifespan fernet tokens remove creation timestamp tokens payload favor extract tokens creation timestamp fernet token format itself move payload version part plaintext token prefix integrity verify portion token the payload drop doesnt serve purpose fernet tokens token format validate offline pki pkiz require bunch ing responsibility decrypt unpack disassemble payload content caller the provider add domainscoped payload format identical projectscoped tokens different version number better functional test reveal test intend exercise domainscoped fernet tokens didnt exist pass remove remain functional test unit test suite test fernet provider ensure coverage exist actual functional test suite test auth unit test require heavy ing ing require support item above easier dump test favor better functional test coverage agnostic implementation detail changeid ibbfebceccfeeaecd closesbug closesbug closesbug closesbug
 floatingip add dependencies method,method approach complexity limit pep gate  allow continue make change changeid ifdbdfecffbcfe,0,1,1,0,0,2, floatingip add dependencies method method approach complexity limit pep gate  allow continue make change changeid ifdbdfecffbcfe
 floatingipchecktracker basic network scenario test,float ip check base class manager networkscenariotest float ip check soon float ip create server changeid ibdeacacdbddbcbcd,0,1,0,0,1,2, floatingipchecktracker basic network scenario test float ip check base class manager networkscenariotest float ip check soon float ip create server changeid ibdeacacdbddbcbcd
 functional test case,simplify setup code base class swiftfanctionaltestcase expeced common procedures add init py changeid idbddeadacccbedbffc,0,1,1,0,1,3, functional test case simplify setup code base class swiftfanctionaltestcase expeced common procedures add init py changeid idbddeadacccbedbffc
 gbp resource map neutron restful apis,decouple gbp resource map neutron plugins use neutron restful apis instead neutron client relate call neutron api mixin easier remove future add mock neutronv api provide methods patch neutron restful api call wsgi call modify exist ut resource map driver patch restful apis wsgi call ensure test scenarios examine pass modify exist ut apic map driver patch restful apis wsgi call ensure test scenarios examine pass changeid iecdbefcdbffdecb,0,1,1,0,1,3, gbp resource map neutron restful apis decouple gbp resource map neutron plugins use neutron restful apis instead neutron client relate call neutron api mixin easier remove future add mock neutronv api provide methods patch neutron restful api call wsgi call modify exist ut resource map driver patch restful apis wsgi call ensure test scenarios examine pass modify exist ut apic map driver patch restful apis wsgi call ensure test scenarios examine pass changeid iecdbefcdbffdecb
 gbp neutron restful apis,add  neutron restful api  resource map driver neutron restful apis changeid ieaadbecacbf,1,0,0,0,0,1, gbp neutron restful apis add  neutron restful api  resource map driver neutron restful apis changeid ieaadbecacbf
 glance image v behaviors,behaviors ing glange default functionality image creation value tag protect visibility default set glance changeid ifbbdfbdefdbfccdeb,0,1,0,1,0,2, glance image v behaviors behaviors ing glange default functionality image creation value tag protect visibility default set glance changeid ifbbdfbdefdbfccdeb
 httprelated exceptions, helper function build map http status cod local http exceptions dont explicitly list single exception add exceptions represent http status cod previously represent improve consistency exceptions name prepending http necessary exception name use httpexception instead clientexception deprecate old http exceptions those arent prefix http deprecate clientexception deprecate unused notokenlookupexception endpointnotfound add test module spotcheck from response helper changeid ibcfefeabbdddfda,0,1,1,0,1,3, httprelated exceptions  helper function build map http status cod local http exceptions dont explicitly list single exception add exceptions represent http status cod previously represent improve consistency exceptions name prepending http necessary exception name use httpexception instead clientexception deprecate old http exceptions those arent prefix http deprecate clientexception deprecate unused notokenlookupexception endpointnotfound add test module spotcheck from response helper changeid ibcfefeabbdddfda
 heat dependencies nova compute,allow heat control parallelism deploy allow easy integration new heat dependencies require nova compute integration present difficult understand unnecessary complex dependencies changeid iebbcbdfeccadccca coauthor nicholas randon,0,1,1,0,0,2, heat dependencies nova compute allow heat control parallelism deploy allow easy integration new heat dependencies require nova compute integration present difficult understand unnecessary complex dependencies changeid iebbcbdfeccadccca coauthor nicholas randon
 hitachi block storage driver patch, hitachi block storage driver first patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch st one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively docimpact implement blueprint inghbsddriver changeid idacbcfdaeddfefa,1,1,1,0,1,4, hitachi block storage driver patch  hitachi block storage driver first patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch st one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively docimpact implement blueprint inghbsddriver changeid idacbcfdaeddfefa
 hitachi block storage driver patch, hitachi block storage driver second patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch nd one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ieccbfabdbdcdbffefaaefb implement blueprint inghbsddriver,1,1,1,0,1,4, hitachi block storage driver patch  hitachi block storage driver second patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch nd one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ieccbfabdbdcdbffefaaefb implement blueprint inghbsddriver
 hitachi block storage driver patch, hitachi block storage driver third patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch rd one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ifcdffacbedd implement blueprint inghbsddriver,1,1,1,0,1,4, hitachi block storage driver patch  hitachi block storage driver third patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch rd one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ifcdffacbedd implement blueprint inghbsddriver
 hitachi block storage driver patch, hitachi block storage driver fourth patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ieeadadecfcdeaad implement blueprint inghbsddriver,1,1,1,0,1,4, hitachi block storage driver patch  hitachi block storage driver fourth patch drivers support fc iscsi protocols drivers storage interfaces name horcm snm drivers support kinds drivers code horcmfc snmfc snmiscsi hard maintain present code  code drastically submit follow patch  base libraries delete exist test driver break exist unit test  snmfc drivers base libraries change  snmiscsi drivers base libraries change  horcmfc drivers base libraries change patch one class relationship patch follow upper class hbsdfc class inherit volumedriver class class hbsdcommon hbsdcommon class common methods horcm snm hbsdhorcm hbsdsnm class inherit hbsdcommon hbsdhorcm class characteristic methods horcm interface hbsdsnm class characteristic methods snm interface hbsdhorcmfc class inherit hbsdhorcm hbsdhorcmfc class characteristic interfaces horcm fc hbsdsnmfc hbsdsnmiscsi class inherit hbsdsnm class characteristic interfaces respectively changeid ieeadadecfcdeaad implement blueprint inghbsddriver
 host api unit test,wip  host api unit test host api unit test ed use basehosttestcase class story task tbd changeid icaefecdaebacbef signedoffby teresa ho teresa ho windriver com,0,1,1,0,1,3, host api unit test wip  host api unit test host api unit test ed use basehosttestcase class story task tbd changeid icaefecdaebacbef signedoffby teresa ho teresa ho windriver com
 hostapi service update,change ifbcaeffbdaeca go reflect compute service disable status compute status disable trait placement change prep work common method hostapi service update abstract pre post service update apis pre case service retrieve host binary require look hostmapping post case service object need save change blueprint prefilterdisabledcomputes changeid idccdcbfcaecdfdbaacb,1,1,0,0,0,2, hostapi service update change ifbcaeffbdaeca go reflect compute service disable status compute status disable trait placement change prep work common method hostapi service update abstract pre post service update apis pre case service retrieve host binary require look hostmapping post case service object need save change blueprint prefilterdisabledcomputes changeid idccdcbfcaecdfdbaacb
 huawei volume driver,blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid ifdcfeeaecfccc implement blueprint huaweivolumedriver,0,1,0,1,0,2, huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid ifdcfeeaecfccc implement blueprint huaweivolumedriver
 huawei volume driver,blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iffbabcffcbcaaedbad implement blueprint huaweivolumedriver,0,0,0,1,0,1, huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iffbabcffcbcaaedbad implement blueprint huaweivolumedriver
 huawei volume driver,blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iafeacddefcf implement bp huaweivolumedriver,0,1,0,1,0,2, huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iafeacddefcf implement bp huaweivolumedriver
 huawei volume driver,blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iacdaaceebdedaafaebeede implement bp huaweivolumedriver,0,1,1,1,0,3, huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages follow diragram show structure newest huawei volume driver iscsidriver huaweibasedriver fibrechanneldriver huaweiiscsidriver huaweifcdriver changeid iacdaaceebdedaafaebeede implement bp huaweivolumedriver
 huawei volume driver, huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages changeid ieadebebeef implement blueprint huaweivolumedriver,0,1,1,0,0,2, huawei volume driver  huawei volume driver blueprint attempt  huawei volume driver liberty add base dirver implement basic function cinder driver require subclass inherit base driver accord different storages changeid ieadebebeef implement blueprint huaweivolumedriver
 huawei iscsi driver better use sshpool,previous code huawei iscsi driver lot trick code support autoswitching controller fail example change server ip sshpool runtime use sshpool get instead sshpool item suggest use python patch  code cleaner way include allocate seperate pool controller failure need switch pool use need lock pool change ip exist pool use sshpool item instead sshpool get suggest eventlet refer cleanup sshconn create dont need manually close client its ok use infinite socket timeout use create method sshpool cleanup unused function utils py sshpool remove create huawei driver its bugly fix grizzly master dont need it remove it utils create channel create driver replace client invoke shell width xx height xx changeid idcbdafcbafefcbfacbcafa,0,1,1,0,0,2, huawei iscsi driver better use sshpool previous code huawei iscsi driver lot trick code support autoswitching controller fail example change server ip sshpool runtime use sshpool get instead sshpool item suggest use python patch  code cleaner way include allocate seperate pool controller failure need switch pool use need lock pool change ip exist pool use sshpool item instead sshpool get suggest eventlet refer cleanup sshconn create dont need manually close client its ok use infinite socket timeout use create method sshpool cleanup unused function utils py sshpool remove create huawei driver its bugly fix grizzly master dont need it remove it utils create channel create driver replace client invoke shell width xx height xx changeid idcbdafcbafefcbfacbcafa
 ip configuration load,previously set use ips function work read configuration inventory data determine mark ips use changeset split work separate function configuration inventory use output set ips information separate way preparation ipmanager instance instead queue queue set object future add test configuration inventory parse testsetusedips test move test ips module consistency changeid idbfeaffbfbcdffeceadb,0,1,1,0,1,3, ip configuration load previously set use ips function work read configuration inventory data determine mark ips use changeset split work separate function configuration inventory use output set ips information separate way preparation ipmanager instance instead queue queue set object future add test configuration inventory parse testsetusedips test move test ips module consistency changeid idbfeaffbfbcdffeceadb
 image api v tenant permissions test, image api tenant permisions test test fixtures ing ed test account change fixtures behaviors config image model non admin users implementation test add new test step improve implementation add admin user access data behavior image client fixtures distinguish privilege normal user alternate user both non admin admin user changeid iebbffebdabedbecd,1,1,0,0,1,3, image api v tenant permissions test  image api tenant permisions test test fixtures ing ed test account change fixtures behaviors config image model non admin users implementation test add new test step improve implementation add admin user access data behavior image client fixtures distinguish privilege normal user alternate user both non admin admin user changeid iebbffebdabedbecd
 image api v client,s store image file method signator add content type new parameter order test upload image file different from default application octetstream content type changeid idcfcccefcbeefcedca,1,1,0,0,1,3, image api v client s store image file method signator add content type new parameter order test upload image file different from default application octetstream content type changeid idcfcccefcbeefcedca
 instancegroup batch size logic,calculate batch size separate function independent resource itself suitable move library changeid ifeaabfdfffb,0,1,0,1,0,2, instancegroup batch size logic calculate batch size separate function independent resource itself suitable move library changeid ifeaabfdfffb
 interface api unit test,interface api unit test ed use basehosttestcase class story task changeid ibcafacdbbeadd signedoffby teresa ho teresa ho windriver com,1,0,0,0,1,2, interface api unit test interface api unit test ed use basehosttestcase class story task changeid ibcafacdbbeadd signedoffby teresa ho teresa ho windriver com
 ironic ironic inspector service,turn ironic ironic inspector api service function thunks store dispatch easily pass allow use auth selectors service auth token id changeid ibccbffcfbfefbdba,1,1,0,0,0,2, ironic ironic inspector service turn ironic ironic inspector api service function thunks store dispatch easily pass allow use auth selectors service auth token id changeid ibccbffcfbfefbdba
 ironic job macro,ironic get job test different deployment scenarios support time add new optional feature add new conditional exist macro enable job add new variable job template use macro get unmanageable messy patch s configurations weve control conditionals builders pull jobtemplate require write optional script part file ironicextravars source main ironic macro changeid icebabaecfadfdcee,1,1,1,0,0,3, ironic job macro ironic get job test different deployment scenarios support time add new optional feature add new conditional exist macro enable job add new variable job template use macro get unmanageable messy patch s configurations weve control conditionals builders pull jobtemplate require write optional script part file ironicextravars source main ironic macro changeid icebabaecfadfdcee
 ironic job macro,ironic get job test different deployment scenarios support time add new optional feature add new conditional exist macro enable job add new variable job template use macro get unmanageable messy patch s configurations weve control conditionals builders pull jobtemplate require write optional script part file ironicextravars source main ironic macro patch take ironic job largely same s single template use jenkins job builder matrixing generate job instead explicitly define one changeid iefbddcfadbfee,0,1,1,0,1,3, ironic job macro ironic get job test different deployment scenarios support time add new optional feature add new conditional exist macro enable job add new variable job template use macro get unmanageable messy patch s configurations weve control conditionals builders pull jobtemplate require write optional script part file ironicextravars source main ironic macro patch take ironic job largely same s single template use jenkins job builder matrixing generate job instead explicitly define one changeid iefbddcfadbfee
 isolate env use unit test, setup environment base test directories allow settings apply unit test changeid ibaaffecdaeaacbded,0,1,1,0,1,3, isolate env use unit test  setup environment base test directories allow settings apply unit test changeid ibaaffecdaeaacbded
 keystone adminendpoint api,patch move content adminendpoints parameters yaml parameters yaml modify parameters name changeid iecddfbddfcccaea,1,1,0,0,0,2, keystone adminendpoint api patch move content adminendpoints parameters yaml parameters yaml modify parameters name changeid iecddfbddfcccaea
 keystone admintenant api v,patch modify parameters name admintenant inc changeid iceadaacbcfeaaaaeb,1,0,0,0,0,1, keystone admintenant api v patch modify parameters name admintenant inc changeid iceadaacbcfeaaaaeb
 keystone test use openstacksdk,openstack sdk test uniform reduce direct dependencies install changeid iceebabcdebcd,0,1,1,0,1,3, keystone test use openstacksdk openstack sdk test uniform reduce direct dependencies install changeid iceebabcdebcd
 keystone wsgi eventlet app,pass function parameters startup code look need class hierarchy changeid idcccfdeabcfaeeb relatedbug,0,0,1,0,0,1, keystone wsgi eventlet app pass function parameters startup code look need class hierarchy changeid idcccfdeabcfaeeb relatedbug
 kombustubs fixture,fix bug changeid icdcedabeebaead,0,1,0,1,0,2, kombustubs fixture fix bug changeid icdcedabeebaead
